1007.5,4,79,3.5
1007,3,79,4
1006.5,3,81,3.5
1005.5,3,82.5,4.5
1005.5,3,81.5,4.5
1005,3.5,81.5,5
1005,3.5,81.5,5
1005,3.5,80,4.5
1005,4.5,80.5,5
1005,4.5,82.5,5.5
1004,5.5,82,6
1004,6,82,6
1003,6.5,80.5,6.5
1003,7,79,6.5
1002,7.5,77,6.5
1002,7,79,6.5
1001.5,7,83.5,5.5
1001,7,85,5.5
1001,7,86.5,5.5
1000.5,7,87,5.5
999.5,7,87,5
999.5,7.5,84.5,7.5
999.5,7.5,81,8
999,7.5,81,7.5
999.5,7.5,78.5,7
999.5,6.5,77,7.5
1000,6.5,75.5,6
1000,6,74,6
1000,5.5,72,5.5
1000.5,5.5,73.5,6
1001,5,75.5,5
1001.5,5,76.5,5
1002,5.5,77,6
1002.5,6,76.5,6
1003,7,74,5.5
1003,7.5,71,6
1003,7.5,72,5.5
1003,7,73.5,5
1003.5,7,71,5
1003.5,6.5,71,5
1004,6,74.5,4
1004,5.5,76,4
1004.5,5,76.5,3.5
1005,4.5,78.5,3.5
1005.5,4.5,80,3.5
1005.5,4.5,80.5,3.5
1005.5,3.5,81.5,3.5
1005,2.5,85,3
1004.5,2.5,89,4
1004,2.5,91,3.5
1004,2.5,91.5,3.5
1003,2.5,91,4
1003,2.5,91.5,4
1002.5,3,91.5,4
1002.5,3.5,90,5
1002,4,89,5
1001,4,90,6
1000,5,91,6
1000,6,90.5,7.5
999,6.5,93,7.5
998,6.5,95,7.5
997.5,7,95.5,7
996.5,7.5,95.5,8.5
996,8,95.5,8
996,8,95.5,8
996,9,95.5,7.5
996,8.5,95.5,7
995.5,9,95.5,6.5
996,9,96,6.5
995.5,9,96,6.5
995.5,9.5,96,6.5
995.5,9.5,96.5,6.5
995.5,9.5,96.5,5.5
995.5,9.5,96.5,5.5
995.5,10,96.5,6
995.5,9.5,96.5,6
995.5,9.5,97,6.5
995.5,9.5,97,6.5
995,9.5,97,7.5
996,9.5,97,7
996,10,97,7.5
996,10,96.5,7.5
996,10.5,95.5,7.5
996,10.5,93.5,7
995,10.5,90.5,7.5
995,9.5,89.5,7
994.5,9.5,89.5,7.5
994.5,9.5,89.5,7
994.5,9.5,89,7
994,9.5,89.5,7.5
993.5,9,89.5,7.5
993.5,9.5,88,8
993,9,88,7
992.5,9,87,7.5
992,9,87,7
992,9.5,86,8.5
992,9.5,85.5,8
991,10,84.5,8
991,10,85,8.5
990,9.5,85,8.5
990,9.5,85.5,7
990,9.5,85,7.5
990,9.5,85,8
990,9.5,85,8
990,9.5,85,8
990,9.5,83.5,8
989.5,10.5,80.5,8
